Original Text,BERT Input,BERT Label,Segment Label,Is Next
"Wall St. Bears Claw Back Into the Black (Reuters) Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again.","[1, 436, 426, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1618, 15854, 117, 70, 6, 861, 17, 3, 3, 31, 19, 3, 7, 436, 377, 20, 13, 4, 10, 95468, 7, 46, 4003, 789, 331, 5, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 861, 0, 31, 18, 0, 0, 89925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1
"Stocks End Up, But Near Year Lows (Reuters) Reuters - Stocks ended slightly higher on Friday\but stayed near lows for the year as oil prices surged past  #36;46\a barrel, offsetting a positive outlook from computer maker\Dell Inc. (DELL.O)","[1, 17, 839, 5, 2, 375, 18, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1,1,1,1,1,2,2,2,0,0",1
"Money Funds Fell in Latest Week (AP) AP - Assets of the nation's retail money market mutual funds fell by  #36;1.17 billion in the latest week to  #36;849.98 trillion, the Investment Company Institute said Thursday.","[1, 752, 1194, 447, 11, 3, 89, 17, 35, 18, 35, 19, 1755, 3, 6, 3, 3, 13, 838, 752, 131, 3, 1194, 447, 28, 479, 112, 3, 2, 785, 142, 3, 6, 318, 89, 8, 479, 42832, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 41860, 0, 0, 0, 18, 0, 0, 0, 10, 0, 412, 20, 0, 0, 0, 0, 86816, 0, 0, 0, 0, 112, 79650, 0, 0, 0, 45591, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",1
"Fed minutes show dissent over inflation (USATODAY.com) USATODAY.com - Retail sales bounced back a bit in July, and new claims for jobless benefits fell last week, the government said Thursday, indicating the economy is improving from a midsummer slump.","[1, 175, 3, 2165, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 19, 838, 128, 5761, 117, 9, 2554, 11, 1258, 7, 12, 27, 566, 15, 2472, 1707, 447, 73, 89, 7, 6, 102, 30, 63, 7, 7191, 6, 356, 25, 2558, 33, 9, 27294, 3747, 5, 2]","[0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1
"Safety Net (Forbes.com) Forbes.com - After earning a PH.D. in Sociology, Danny Bazil Riley started to work as the general manager at a commercial real estate firm at an annual base salary of  #36;70,000. Soon after, a financial planner stopped by his desk to drop off brochures about insurance benefits available through his employer. But, at 32, ""buying insurance was the furthest thing from my mind,"" says Riley.","[1, 50, 7, 24, 3070, 3, 3, 767, 39, 6, 38033, 1912, 33, 1286, 3, 3, 88, 9749, 5, 2, 175, 19, 38, 3, 9, 50646, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 7, 1312, 0, 0, 0, 0, 0, 0, 0, 3077, 7, 0, 0, 0, 0, 0, 0, 0, 15301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0",0
"Safety Net (Forbes.com) Forbes.com - After earning a PH.D. in Sociology, Danny Bazil Riley started to work as the general manager at a commercial real estate firm at an annual base salary of  #36;70,000. Soon after, a financial planner stopped by his desk to drop off brochures about insurance benefits available through his employer. But, at 32, ""buying insurance was the furthest thing from my mind,"" says Riley.","[1, 3, 18, 3, 5, 2, 0, 0, 175, 19, 38, 3, 9, 50646, 5, 2]","[0, 175, 0, 2631, 0, 0, 0, 0, 0, 0, 0, 15301, 0, 0, 0, 0]","1,1,1,1,1,1,0,0,2,2,2,2,2,2,2,2",1
"Safety Net (Forbes.com) Forbes.com - After earning a PH.D. in Sociology, Danny Bazil Riley started to work as the general manager at a commercial real estate firm at an annual base salary of  #36;70,000. Soon after, a financial planner stopped by his desk to drop off brochures about insurance benefits available through his employer. But, at 32, ""buying insurance was the furthest thing from my mind,"" says Riley.","[1, 11, 52350, 7, 3, 63168, 9749, 1298, 8, 379, 23, 6, 333, 530, 24, 9, 1329, 3, 3453, 3, 24, 34, 957, 1478, 4932, 10, 479, 2338, 7, 166, 3, 2, 746, 3, 7, 9, 3, 18877, 3, 28, 36, 8071, 8, 667, 115, 64575, 72, 767, 1707, 1012, 256, 36, 8838, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 4879, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 595, 0, 67087, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55947, 0, 0, 38, 0, 0, 420, 18877, 2925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0",1
"Wall St. Bears Claw Back Into the Black  NEW YORK (Reuters) - Short-sellers, Wall Street's dwindling  band of ultra-cynics, are seeing green again.","[1, 436, 426, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1618, 15854, 117, 70, 6, 861, 27, 77, 17, 31, 18, 19, 89925, 7, 436, 377, 20, 13, 10672, 3, 10, 95468, 7, 3, 4003, 789, 331, 3, 2]","[0, 436, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39756, 0, 0, 0, 22324, 0, 0, 0, 59868, 0]","1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1
"No Need for OPEC to Pump More-Iran Gov  TEHRAN (Reuters) - OPEC can do nothing to douse scorching  oil prices when markets are already oversupplied by 2.8 million  barrels per day (bpd) of crude, Iran's OPEC governor said  Saturday, warning that prices could fall sharply.","[1, 83, 816, 15, 1393, 8, 6447, 81111, 3, 1735, 17, 31, 18, 19, 1393, 3, 431, 1822, 8, 26650, 18965, 64, 96, 94, 736, 46, 774, 84123, 28, 124, 5, 2, 450, 86, 3, 518, 136, 17, 12045, 18, 10, 3, 7, 348, 20, 13, 1393, 2176, 30, 3, 7, 943, 21, 96, 97, 438, 1343, 3, 2, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 23671, 0, 0, 0, 0, 19, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4455, 0, 0, 0, 0, 0, 0, 461, 0, 0, 0, 13, 0, 0, 0, 22499, 0, 0, 0, 0, 0, 0, 0, 72104, 0, 0, 0, 0, 0, 0]","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0",0
Google IPO Auction Off to Rocky Start  WASHINGTON/NEW YORK (Reuters) - The auction for Google  Inc.'s highly anticipated initial public offering got off to a  rocky start on Friday after the Web search company sidestepped  a bullet from U.S. securities regulators.,"[1, 1033, 1003, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 2987, 2973, 1392, 391, 740, 726, 3, 8, 9, 5914, 294, 3, 69, 38, 6, 232, 182, 3, 22338, 9, 9520, 33, 55, 5, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2702, 8, 0, 0, 0, 14, 69, 0, 0, 0, 0, 85957, 0, 0, 0, 33, 0, 0, 0]","1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",0
Dollar Falls Broadly on Record Trade Gap  NEW YORK (Reuters) - The dollar tumbled broadly on Friday  after data showing a record U.S. trade deficit in June cast  fresh doubts on the economy's recovery and its ability to draw  foreign capital to fund the growing gap.,"[1, 281, 1189, 8677, 14, 149, 270, 2565, 27, 77, 17, 31, 18, 19, 6, 281, 5346, 8677, 14, 69, 38, 262, 1632, 9, 149, 55, 5, 2, 270, 1279, 11, 3, 3178, 3, 3350, 14, 6, 3, 20, 13, 1526, 12, 26, 2573, 8, 1235, 3, 481, 8, 773, 6, 814, 2565, 5, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58873, 0, 992, 0, 0, 0, 356, 0, 0, 0, 0, 0, 0, 0, 0, 49370, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0",0
"US trade deficit swells in June The US trade deficit has exploded 19 to a record \$55.8bn as oil costs drove imports higher, according to a latest figures.","[1, 40, 270, 1279, 20006, 11, 1927, 6, 40, 270, 1279, 32, 1846, 3, 8, 3, 149, 3853, 5, 2, 10804, 23, 64, 534, 2659, 3113, 3, 7, 212, 8, 9, 318, 1501, 5, 2, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 20006, 0, 0, 0, 0, 0, 0, 0, 0, 906, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0",0
"Rand falls on shock SA rate cut Interest rates are trimmed to 7.5 by the South African central bank,  but the lack of warning hits the rand and surprises markets.","[1, 3, 3, 14, 2244, 3330, 641, 276, 589, 616, 46, 9056, 8, 310, 5, 2, 0, 0, 0, 0, 0, 3, 28, 6, 216, 796, 567, 196, 3, 50, 6, 2378, 10, 943, 629, 6, 10576, 12, 7702, 736, 5, 2]","[0, 52547, 1189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 251, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1
South Korea lowers interest rates South Korea's central bank cuts interest rates by a quarter percentage point to 3.5 in a bid to drive growth in the economy.,"[1, 216, 416, 4858, 589, 616, 216, 416, 20, 13, 567, 196, 556, 589, 3, 3, 3, 259, 5237, 948, 8, 3, 5, 2, 251, 11, 3, 225, 8, 884, 255, 11, 3, 3, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 616, 28, 55863, 0, 0, 0, 0, 219, 0, 0, 251, 0, 9, 0, 0, 0, 0, 0, 6, 356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0",1
"Saudi Arabia to open up oil taps Saudi Arabia says it is ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices.","[1, 219, 86, 4455, 3, 136, 10, 64, 70, 6, 131, 7, 3, 3, 5704, 3985, 3, 5, 2, 0, 1565, 2902, 8, 154, 47, 3, 5616, 1565, 2902, 88, 29, 25, 714, 8, 901, 34, 2016, 112, 5, 2]","[0, 219, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 62044, 4842, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0]","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",0
Steady as they go BEDFORD -- Scientists at NitroMed Inc. hope their experimental drugs will cure heart disease someday. But lately their focus has been on more mundane matters.,"[1, 50, 7503, 44, 920, 3, 85, 14, 51, 20797, 7582, 5, 2, 2418, 23, 71, 366, 17694, 3, 454, 24, 30041, 68, 5, 2, 0]","[0, 0, 0, 0, 0, 14091, 0, 0, 51, 0, 0, 0, 0, 0, 0, 71, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0]","1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0",0
"Google IPO: Type in 'confusing,' 'secrecy' I've submitted my bid to buy shares of Google Inc. in the computer search company's giant auction-style initial public offering. That could turn out to be the good news or the bad news.","[1, 11, 6, 183, 182, 58, 3, 13, 250, 28637, 1392, 391, 3, 5, 2, 21, 97, 951, 62, 8, 41, 6, 3, 140, 120, 6, 1111, 140, 3, 2]","[0, 0, 0, 0, 0, 0, 20, 13, 0, 0, 0, 0, 740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96081, 0, 0, 0, 0, 0, 90792, 0]","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1
